m;currency;val;qua
1;EUR;424 892 953;13 618 496
1;LSE;717 995 797;30 717 340
1;USA;58 100 249 123;1 664 406 786
7;EUR;370 813 259;10 032 206
7;LSE;284 632 132;8 006 672
7;USA;62 164 882 992;2 151 110 752
8;EUR;284 590 888;6 892 070
8;LSE;358 517 236;16 064 688
8;USA;56 770 136 574;2 205 959 962
9;EUR;312 948 712;12 046 714
9;LSE;523 032 696;27 926 888
9;USA;52 775 772 384;2 549 365 592
10;EUR;303 349 031;12 132 244
10;LSE;522 227 134;20 256 694
10;USA;60 949 208 112;2 206 900 808
11;EUR;432 915 266;15 395 014
11;LSE;576 906 415;19 985 024
11;USA;80 868 942 249;2 771 151 524
12;EUR;278 727 428;10 641 028
12;LSE;454 083 365;18 875 536
12;USA;58 511 785 669;2 066 197 504
